省份,时间,确诊,治愈,死亡,新增确诊
海南,1.26,22,0,0,0
海南,1.27,33,0,1,9
海南,1.28,43,0,1,5
海南,1.29,46,1,1,3
海南,1.30,49,1,1,3
海南,1.31,57,1,1,8
海南,2.1,63,1,1,6
海南,2.2,70,4,1,7
海南,2.3,79,4,1,9
海南,2.4,89,4,1,11
海南,2.5,100,5,1,11
海南,2.6,111,8,2,11
海南,2.7,123,11,2,12
海南,2.8,128,15,2,6
海南,2.9,136,19,3,8
海南,2.10,142,19,3,6
海南,2.11,145,20,3,3
海南,2.12,157,27,4,12
海南,2.13,157,30,4,0
海南,2.14,162,38,4,5
海南,2.15,162,39,4,0
海南,2.16,162,52,4,0
海南,2.17,163,59,4,1
海南,2.18,163,79,4,0
海南,2.19,168,84,4,5
海南,2.20,168,89,4,0
海南,2.21,168,96,4,0
海南,2.22,168,104,4,0
海南,2.23,168,106,5,0
海南,2.24,168,116,5,0
海南,2.25,168,124,5,0
海南,2.26,168,129,5,0
海南,2.27,168,132,5,0
海南,2.28,168,136,5,0
海南,2.29,168,148,5,0
海南,3.1,168,151,5,0
海南,3.3,168,155,5,0
海南,3.4,168,158,5,0
海南,3.5,168,158,6,0
海南,3.6,168,158,6,0
海南,3.7,168,158,6,0
海南,3.8,168,159,6,0
海南,3.9,168,159,6,0
海南,3.10,168,159,6,0
海南,3.11,168,160,6,0
海南,3.12,168,160,6,0
海南,3.13,168,160,6,0
海南,3.14,168,160,6,0
海南,3.15,168,160,6,0
海南,3.16,168,161,6,0
海南,3.17,168,161,6,0
海南,3.18,168,161,6,0
海南,3.19,168,161,6,0
海南,3.20,168,161,6,0
海南,3.21,168,161,6,0
海南,3.22,168,161,6,0
海南,3.23,168,161,6,0
海南,3.24,168,162,6,0
海南,3.25,168,162,6,0
海南,3.26,168,162,6,0
海南,3.27,168,162,6,0
海南,3.28,168,162,6,0
海南,3.29,168,162,6,0
海南,3.30,168,162,6,0
海南,3.31,168,162,6,0
海南,4.1,168,162,6,0
海南,4.2,168,162,6,0
海南,4.3,168,162,6,0
海南,4.4,168,162,6,0
海南,4.5,168,162,6,0
海南,4.6,168,162,6,0
海南,4.7,168,162,6,0
海南,4.8,168,162,6,0
海南,4.9,168,162,6,0
海南,4.10,168,162,6,0
海南,4.11,168,162,6,0
海南,4.12,168,162,6,0
海南,4.13,168,162,6,0
海南,4.14,168,162,6,0
海南,4.15,168,162,6,0
海南,4.16,168,162,6,0
海南,4.17,168,162,6,0
海南,4.18,168,162,6,0
海南,4.19,168,162,6,0
海南,4.20,168,162,6,0
海南,4.21,168,162,6,0
海南,4.22,168,162,6,0
海南,4.23,168,162,6,0
海南,4.24,168,162,6,0
海南,4.25,168,162,6,0
海南,4.26,168,162,6,0
海南,4.27,168,162,6,0
海南,4.28,168,162,6,0
海南,4.29,168,162,6,0
海南,4.30,168,162,6,0
海南,5.1,168,162,6,0
海南,5.2,168,162,6,0
海南,5.3,168,162,6,0
海南,5.4,168,162,6,0
海南,5.5,168,162,6,0
海南,5.6,168,162,6,0
海南,5.7,168,162,6,0
海南,5.8,168,162,6,0
海南,5.9,168,162,6,0
海南,5.10,168,162,6,0
海南,5.11,168,162,6,0
海南,5.12,168,162,6,0
海南,5.13,168,162,6,0
海南,5.14,168,162,6,0
海南,5.15,169,162,6,1
海南,5.16,169,162,6,0
海南,5.17,169,162,6,0
海南,5.18,169,162,6,0
海南,5.19,169,162,6,0
海南,5.20,169,162,6,0
海南,5.21,169,162,6,0
海南,5.22,169,162,6,0
海南,5.23,169,162,6,0
海南,5.24,169,162,6,0
海南,5.25,169,162,6,0
海南,5.26,169,162,6,0
海南,5.27,169,162,6,0
海南,5.28,169,162,6,0
海南,5.29,169,163,6,0
海南,5.30,169,162,6,0
海南,5.31,169,162,6,0
海南,6.1,169,162,6,0
海南,6.2,169,162,6,0
